time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010522349642	158.863	26.0198	3.26025	0.366917	-0.0666151	lidar	0.034416	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.877	26.0221	3.19612	0.373281	-0.0526726	radar	0.00686307	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.442	27.4232	2.99639	0.517906	0.0894594	lidar	0.17383	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.461	27.4292	2.97756	0.525051	0.10319	radar	0.00319334	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.658	28.7877	2.6638	0.597874	0.089859	lidar	0.0257003	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.781	28.8035	2.90764	0.54746	0.0271907	radar	0.0766826	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	166.755	30.187	3.45264	0.347139	-0.149135	lidar	0.162857	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.689	30.1681	3.12814	0.379616	-0.099393	radar	0.0764637	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.142	31.3755	2.80131	0.435355	0.0116946	lidar	0.11246	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.163	31.3773	2.8615	0.428392	0.00119728	radar	0.00312965	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.12	32.3327	3.26815	0.237089	-0.143492	lidar	0.121423	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.097	32.3208	3.0412	0.240486	-0.136706	radar	0.036192	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.671	33.4486	2.85076	0.419539	0.0838347	lidar	0.395536	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.643	33.4471	2.77405	0.426425	0.0953241	radar	0.00502027	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.042	34.2218	2.59047	0.306839	-0.0541971	lidar	0.13629	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.055	34.2229	2.58071	0.305015	-0.0551391	radar	0.00107362	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.053	35.1164	3.3506	0.270447	-0.0407383	lidar	0.10415	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	179.912	35.0926	2.85612	0.297055	-0.000910114	radar	0.180009	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.592	35.7556	2.89998	0.219124	-0.0543326	lidar	0.0203842	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.486	35.7334	2.62274	0.225666	-0.0472139	radar	0.0674788	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.751	36.5086	2.48153	0.342687	0.0674384	lidar	0.0689717	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.733	36.509	2.35933	0.352688	0.0827193	radar	0.010449	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.942	36.9582	2.32174	0.175552	-0.0959614	lidar	0.118849	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	187.007	36.9713	2.42053	0.168233	-0.101432	radar	0.0178374	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.441	37.3965	2.61775	0.149083	-0.0434893	lidar	0.0184699	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.442	37.396	2.4332	0.147092	-0.045169	radar	0.0290803	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.737	37.5675	2.41724	0.0376193	-0.088935	lidar	0.00818981	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.694	37.5551	2.26534	0.0258059	-0.104802	radar	0.0172507	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.517	37.2896	1.90296	-0.214948	-0.202903	lidar	0.0469188	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.547	37.302	2.03675	-0.190083	-0.170008	radar	0.0135682	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
1477010537349642	195.926	37.3707	2.41933	0.142414	0.181432	lidar	0.267443	195.991	37.3991	195.762	37.3598	1.92349	-0.072386
1477010537349642	195.812	37.369	2.05065	0.116295	0.162279	radar	0.103295	195.507	37.4891	195.762	37.3598	1.92349	-0.072386
1477010538349642	197.723	37.7289	2.06047	0.269928	0.156464	lidar	0.000113042	197.725	37.7285	197.683	37.2395	1.81869	-0.159495
1477010538349642	197.676	37.7209	1.95761	0.272122	0.158851	radar	0.0113369	197.582	37.303	197.683	37.2395	1.81869	-0.159495
1477010539349642	199.335	37.3488	1.46116	-0.203339	-0.251795	lidar	0.492996	199.294	37.2862	199.497	37.0353	1.71212	-0.235529
1477010539349642	199.356	37.3677	1.60199	-0.179108	-0.218402	radar	0.0138164	199.356	37.3527	199.497	37.0353	1.71212	-0.235529
